,2013_Score,5_Year_GDP_Growth_Rate_(%),Business_Freedom,CountryID,Country_Name,FDI_Inflow_(Millions),Financial_Freedom,Fiscal_Freedom_,Freedom_from_Corruption,GDP_(Billions_PPP),GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Govt_Spending,Inflation_(%),Investment_Freedom_,Labor_Freedom,Monetary_Freedom,Population_(Millions),Property_Rights,Public_Debt_(%_of_GDP),Region,Region_Rank,Trade_Freedom,Unemployment_(%),World_Rank
65,66.8,-0.5,84.3,81,Jamaica,242.2,60,77.5,33,24.8,1.5,9029,67.7,7.5,85,69.3,76.1,2.7,40,139,South and Central America / Caribbean,9,75.0,12.6,52
15,57.7,4.2,53.0,22,Brazil,66660.1,60,70.3,38,2294.2,2.7,11769,54.8,6.6,50,57.2,74.4,194.9,50,66.2,South and Central America / Caribbean,19,69.7,6,100
25,79.0,3.9,70.5,33,Chile,17299.0,70,77.6,72,299.6,5.9,17222,83.7,3.3,85,74.2,84.6,17.4,90,9.9,South and Central America / Caribbean,1,82.0,6.1,7
104,61.1,5.3,59.1,129,Paraguay,303.0,60,95.9,22,35.3,3.8,5413,85.4,6.6,70,25.6,79.8,6.5,30,13.7,South and Central America / Caribbean,15,82.7,6.6,80
132,61.1,7.4,48.4,171,Uganda,792.3,50,80.6,24,46.4,6.7,1317,84.3,6.5,55,87.9,77.2,35.2,30,29.2,Sub-Saharan Africa,8,73.6,N/A,79
14,70.6,2.8,69.0,21,Botswana,587.1,70,79.5,61,29.7,4.6,16030,65.1,8.5,70,69.8,72.0,1.9,70,17.3,Sub-Saharan Africa,2,79.7,7.5,30
142,58.7,6.5,60.4,182,Zambia,1981.7,50,72.9,32,21.9,6.6,1611,80.3,8.7,55,58.4,66.0,13.6,30,26.1,Sub-Saharan Africa,12,82.3,14,93
82,62.0,2.0,63.5,102,Madagascar,907.4,50,90.0,30,20.4,0.5,934,94.6,10.6,55,47.4,74.9,21.9,40,5.7,Sub-Saharan Africa,5,74.6,N/A,73
83,55.3,7.8,41.1,103,Malawi,56.3,50,78.4,30,13.9,5.5,860,60.0,7.6,50,58.8,72.5,16.2,40,42.5,Sub-Saharan Africa,20,71.8,N/A,118
77,49.3,5.7,56.5,95,Liberia,508.0,20,76.6,32,1.8,6.4,456,77.8,8.5,20,47.2,72.0,3.9,30,13.9,Sub-Saharan Africa,33,61.4,N/A,147
85,56.4,4.4,50.1,106,Mali,177.8,40,69.6,28,17.9,2.7,1128,83.9,3.1,45,64.6,79.9,15.9,30,30.6,Sub-Saharan Africa,17,73.2,N/A,111
23,50.4,2.8,35.2,31,Central African Republic,109.2,30,65.1,22,3.6,3.1,768,92.4,0.7000000000000001,55,47.9,78.1,4.7,20,40.9,Sub-Saharan Africa,31,57.8,N/A,142
91,55.0,6.9,63.9,116,Mozambique,2093.5,50,76.2,27,23.9,7.1,1085,64.5,10.4,50,37.9,74.7,22.0,30,33.2,Sub-Saharan Africa,22,75.4,N/A,123
92,60.3,3.7,68.4,117,Namibia,899.7,40,66.4,44,15.7,3.6,7363,71.5,5.8,50,76.7,74.9,2.1,30,21.9,Sub-Saharan Africa,9,81.5,51.2,84
52,51.1,3.6,41.3,67,Guinea-Bissau,19.4,30,89.1,22,1.9,5.3,1144,82.0,5,35,54.0,72.7,1.7000000000000002,20,45.2,Sub-Saharan Africa,30,65.3,N/A,138
51,51.2,2.4,46.1,66,Guinea,1210.8,40,69.6,21,11.5,3.6,1083,82.6,21.5,45,63.8,62.8,10.6,20,72.2,Sub-Saharan Africa,29,61.2,N/A,137
97,53.9,4.3,35.2,122,Niger,1013.6,40,77.0,25,11.6,2.3,771,80.1,2.9,55,39.3,85.4,15.1,30,18.9,Sub-Saharan Africa,26,71.7,N/A,128
98,55.1,7.0,55.7,123,Nigeria,8915.0,40,82.6,24,413.4,7.2,2578,74.6,10.8,40,67.2,73.3,160.3,30,17.9,Sub-Saharan Africa,21,63.9,21,120
48,61.3,8.0,61.5,63,Ghana,3222.3,60,86.0,39,74.9,13.6,3083,52.5,8.7,70,61.6,64.8,24.3,50,43.4,Sub-Saharan Africa,7,67.8,N/A,77
45,58.8,5.2,59.5,60,Gambia,36.0,50,75.1,35,3.5,3.3,1943,82.7,4.8,65,59.3,71.1,1.8,30,68.8,Sub-Saharan Africa,11,60.5,N/A,92
42,49.4,9.7,52.4,55,Ethiopia,206.1,20,74.2,27,94.9,7.5,1093,89.6,18.1,25,46.9,64.7,86.8,30,37.3,Sub-Saharan Africa,32,64.0,N/A,146
40,36.3,1.1,17.3,53,Eritrea,18.5,20,57.0,25,4,8.7,735,54.6,13.3,0,54.6,55.5,5.5,10,133.8,Sub-Saharan Africa,45,69.1,N/A,173
111,64.1,7.4,65.6,137,Rwanda,106.0,40,80.4,50,13.7,8.8,1341,75.9,5.7,65,80.3,75.5,10.2,30,23.4,Sub-Saharan Africa,3,78.0,N/A,63
2,47.3,8.8,43.1,4,Angola,-5585.5,40,82.6,20,115.7,3.4,5895,60.6,13.5,35,44.8,61.5,19.6,15,30.9,Sub-Saharan Africa,40,70.2,N/A,158
113,55.5,3.5,56.7,143,Senegal,286.1,40,65.2,29,25.2,2.6,1871,75.6,3.4,55,41.3,79.6,13.4,40,40.6,Sub-Saharan Africa,19,72.2,48,116
30,54.1,1.0,43.3,40,Cote d'Ivoire,344.2,50,77.9,22,36.1,-4.7,1590,79.8,4.9,40,54.6,77.8,22.7,25,90.5,Sub-Saharan Africa,24,70.3,N/A,126
28,39.6,5.8,38.7,37,Dem. Rep. of Congo,1686.9,20,71.4,20,25.3,6.9,348,60.1,15.5,20,36.3,56.5,72.6,10,32,Sub-Saharan Africa,44,63.0,N/A,171
